会社,題名,説明
DeAgostini,キャシーといっしょにハワイアンキルト,"暮らしが明るく元気になる
キャシーワールドへようこそ

隔週刊『キャシーといっしょにハワイアンキルト』は毎号ついてくるキットを使って、ハワイアンな作品を作っていくソーイングシリーズです。
気楽に始められる雑貨から、一度はチャレンジしてみたい一生もののインテリアカバーまで……。
作品のデザインは、ハワイアンキルト作家として人気のキャシー中島のオリジナル!
キャシー中島ならではの明るい布合わせで、身も心も元気になる作品ばかりです。
(本シリーズは80号で完結の予定です)

Part1 手縫いで作る暮らしの雑貨
作っても使っても気分はハッピー!
数号ごとに完成する暮らしの雑貨
PART1は、さまざまなシーンで使える小物を数号で完成させます。
最初はハワイアンアップリケやパッチワークなどで、小ぶりで簡単なものから作りましょう!
キャシーならではの布合わせや裏布の使い方にも注目。

Part2 ハワイアンインテリアカバー
毎号少しずつハワイのモチーフを縫いためて、憧れのインテリアカバーが完成!
PART2では、ハワイ伝統のサンプラーモチーフを計20種類、1枚ずつ完成させます。
各モチーフはハワイを代表する植物や生き物で、それぞれに言い伝えや意味があります。
マガジンではそれらの話もご紹介しますので各モチーフに思いを馳せながら制作をお楽しみください。"
DeAgostini,マーベル・ファクト・ファイル," 世界を悪の手から救う正義の使者マーベルヒーローが一堂に集結!

1939年、多数のスーパーヒーローを輩出し、コミック界だけでなく
映画やテレビ、アニメやゲームを席巻する「マーベル・コミック」が誕生した。
本シリーズはマーベル・コミックに登場するヒーローの活躍を多角的に紹介。
多彩なコスチュームや特殊能力だけでなく、生い立ちや人間関係、
ライバルであり強大な敵(ヴィラン)までを網羅した、マーベル大事典である。 "
DeAgostini,西遊記DVDコレクション," 特撮伝奇エンターテインメントの傑作『西遊記』、『西遊記II』が今蘇る！隔週刊 『西遊記 DVDコレクション』 創刊
1978年放送の日本テレビ制作のドラマ『西遊記』シリーズをDVD付きマガジン化した、隔週刊『西遊記DVDコレクション』。

■『西遊記』と『西遊記Ⅱ』を合わせた52話に、今回初めて収録される幻の総集編を加えた、全53話を完全収録。

■マガジンとDVDで『西遊記』の世界観を堪能
・STORYガイド
　→収録エピソードのあらすじや見どころ、注目シーン、スタッフ&キャストにまつわる裏話などを掲載
・妖怪辞典
　→各話に登場する妖怪を紹介
・台本Check
→各話の中から一場面をピックアップし、実際に放送された同場面での台詞と台本上の台詞とを比較
・小説「西遊記」
→原作小説（全100話）を読みやすい文体で翻案
・オリジナルデザインのDVD

■創刊号～第15号のご購読で、女優 夏目雅子の撮影中の様子などを切り取った「特製ブロマイド」を6枚セットでプレゼント "
DeAgostini,古畑任三郎DVDコレクション," 「田村正和 × 三谷幸喜」 傑作ミステリ・ドラマがDVDコレクションで蘇る! 隔週刊 『古畑任三郎 DVDコレクション』 創刊

1994年放送開始の三谷幸喜脚本・田村正和主演の「古畑任三郎」シリーズをDVD付きマガジン化した、隔週刊『古畑任三郎 DVDコレクション』。警部補・古畑任三郎と豪華ゲストスターが扮する“名犯人""たちが繰り広げる人気ドラマを収録エピソードごとに詳しく解説。毎号2話ずつ収録したDVDつき。

■1st シーズン~ファイナルまでの41話を収録! 初パッケージ化となる予告編も収録!
1994年放送開始、1996年には34.4パーセントという驚異的な高視聴率を叩き出した『古畑任三郎』。本マガジンでは、1stシーズン~ファイナルまでの41話(※1)に、山田涼介が若き日の古畑を演じた『古畑中学生』を加えた42話をラインナップ。番外編の『巡査 今泉慎太郎』、初のパッケージ化となる予告編(※2)も収録します。 (※1)スペシャル3『 古畑任三郎 vs SMAP』 は都合により収録されません。 (※2)予告編は各シーズンの第1話とスペシャル回を除き、すべて収録されます。

■豪華スターの登場を可能とした「倒叙ミステリ」
『古畑任三郎』の大きな特徴は、物語の冒頭で、犯人が誰であるか、どのような犯行であったかを視聴者に知らせてしまう“倒叙ミステリ""という手法にあります。この構成により、ドラマ序盤の主役といえる犯人を演じる俳優に、豪華スターを起用することが可能となりました。 "
DeAgostini,ナイトライダー," 世界中の人々が熱狂した伝説の電子頭脳搭載車「ナイト2000」史上初、1/8ビッグスケールギミックモデル
毎号付属のパーツを組み立てると、海外ドラマ「ナイトライダー」に登場するドリーム・カー「ナイト2000」が完成するマガジンシリーズ、週刊『ナイトライダー』。1/8スケールモデルの組み立てシリーズで、ハンドル等の可動やライトの点灯に加え、劇中に登場するテーマ曲や電子頭脳「K.I.T.T.」の名セリフも再現しました。これまでにない本格志向のモデルとなっています。

■全長約61cm大迫力のビッグスケール、細部までこだわり、日本語音声も搭載
1982年にスタートし全84話放映されたアメリカの特撮テレビドラマ「ナイトライダー」。私立探偵調査員の主人公と、相棒の電子頭脳「K.I.T.T.」を搭載したドリームカー「ナイト2000」の活躍は、世界中のファンを魅了しました。2022年にシリーズ開始より40周年を迎えることを記念し、週刊「ナイトライダー」ではナイト2000をダイキャスト製ビッグスケールで忠実に再現したファン必見のギミックモデルを少しずつ組み立てていきます。

人間の言葉を話し、特殊装備を多数備えたギミックなど、付属の腕時計型端末(コムリンク)を使用することで、遠隔操作も可能です。マガジンでは、キャラクターやメカの解説、ドラマの撮影逸話など多数の写真とともに紹介。 "
DeAgostini,スカイライン2000GT-R【KPGC110】,"幻のGT-Rとも呼ばれる「ケンメリGT-R」を日産自動車完全監修で再現!
1/8スケールの組み立てシリーズで、可動部が多く、ランプやエンジン音も再現した本格志向のモデルとなっています。
■全長約56cm大迫力のビッグスケール、細部までこだわり抜いた本格仕様!
「ケンとメリーのスカイライン」のキャッチコピーから、後に通称「ケンメリ」と呼ばれる4代目スカイライン(C110型)のトップモデルとして、1973年1月に登場したのが「SKYLINE 2000GT-R(KPGC110型)」。当時の排気ガス規制の影響を受け、生産台数わずか約200台あまりとなった幻の「GT-R」を日産自動車完全監修、製造は世界的な模型メーカー京商により再現。ランプ点灯、ドア・ボンネット・トランクの開閉等のディテールとギミックに拘り、当時の実車を徹底再現した、全長約56cmの1/8ダイキャストモデルのビッグスケールで組み立てられます。

■1/8ビッグスケールでそのデザインとディテールを徹底再現
【ドアが開く! ランプが光る! 】
ドアやボンネットはもちろん、トランクやタイヤなど多くの部分が実車と同様に可動。また、インパネのメーターや、フロントやリアのランプ類が点灯します。"
DeAgostini,ザ・マジック,"マガジンとDVDのわかりやすい解説で
""憧れのマジック""ができるようになる!!

隔週刊「ザ・マジック」は、世界22ヶ国、数百名ものマジシャンをクライアントとする
マジシャンMAGUS(メイガス)が、およそ300演目に及ぶさまざまなマジックを伝授するDVD&キット付きマガジンです。
DVDとマガジン、毎号付いてくるマジックアイテムをフル活用して、
すべてのマジックに共通する原理と基礎を楽しみながら完全マスターしてください。
(本シリーズは全100号で完結します。)"
DeAgostini,日本の城 DVDコレクション, 隔週刊「日本の城 DVDコレクション」は、2015年よりBS朝日で放送された 『歴史ミステリー日本の城見聞録』を再編集して収録したDVDと、 番組の内容をさらに深堀りして楽しめるマガジンがセットになったシリーズです。 美しく壮大な日本各地の名城に隠された、戦いの砦としての横顔。 DVDでは普段は見ることのできないエリアにも足を踏み入れ、隠された仕掛けや罠の数々を紹介。 マガジンでは縄張のマップを交えて攻める側の視点から城を戦略的に解説します。 城の建造にまつわる人物や、数々の歴史的エピソードも取り上げます。
DeAgostini,つくって あつめる スヌーピー＆フレンズ," ピーナッツの名シーンがミニチュアになって大集合!
ミニチュアボックスは、犬小屋型ディスプレイケースに収めて飾ることができます。

■つくってあつめて楽しめる! 犬小屋型ボックスコレクション
1950年に連載が開始されて以来、半世紀以上を経た今も世界中で愛される人気コミック『ピーナッツ』。『ピーナッツ』のコミック生誕70周年を記念した企画として、これまでにないスケールのミニチュア商品が誕生しました。スヌーピーとチャーリー・ブラウン、個性豊かな仲間たちが織り成す四季折々の32シーンをミニジオラマボックスで再現できます。毎号組み立てていくパーツに加えて、バラエティ豊かなキャラクターのフィギュアもついてきます。
完成したボックスは、スヌーピーの犬小屋型ディスプレイケースに飾ることができます。季節や気分に合わせてボックスを入れ替えて、お好みのディスプレイを楽しめます! また、すべてのボックスにLED照明を内蔵しており、リモコン操作で月や焚火などが光ります。各ボックスは、犬小屋から取り出して単体でもLEDを点灯させることができます。


1つのボックスに2つのシーン!
1つのボックスには両側に1つずつ、計2シーンが再現されています。犬小屋に飾る際には、どちらかお好みのシーンが選べます。 "
DeAgostini,第二次世界大戦傑作戦車コレクション,"株式会社デアゴスティーニ･ジャパンは、第二次世界大戦に登場した世界の主力戦車を、
1/43のビッグスケールでコレクションできる『第二次世界大戦 傑作戦車コレクション』を
2021年12月8日（水）よりデアゴスティーニのウェブ限定で発売いたします。

毎月1回、各軍が誇った戦車2台ずつと、それぞれの戦車の性能や技術を詳しく
紹介したリーフレット式マガジンをお届けします。

大迫力の1/43のビッグスケールだからこそ実現できたディテールの数々を備えた
豪華ラインナップをお楽しみいただける、永久保存版のコレクションです。"
DeAgostini,Lotus 97T,（説明なし）
DeAgostini,サンバ VW Samba Bus,（説明なし）
DeAgostini,アイアンマン,（説明なし）
DeAgostini,インフィニティ・ガントレットをつくる,（説明なし）
DeAgostini,フェラーリ 250 GTO,（説明なし）
DeAgostini,マクラーレン ホンダ MP4/4,（説明なし）
