タイトル,タイトルURL1,画像URL
"
            
            
              
              コメディドラマで ENGLISH
            
              
              2011年01月11日創刊
            
              
              2012年03月06日完結
            
            ",https://deagostini.jp/post/migrm-471,https://deagostini.jp/f/resources_news/archive/migrm_image_CDE_legend_item_img.jpg
"
            
            
              
              日本の古寺・仏像 DVDコレクション
            
              
              2011年01月06日創刊
            
              
              2013年08月27日完結
            
            ",https://deagostini.jp/post/migrm-507,https://deagostini.jp/f/resources_news/archive/migrm_image_NKD_legend_item_img.jpg
"
            
            
              
              大草原の小さな家 DVDコレクション
            
              
              2010年10月19日創刊
            
              
              2013年06月25日完結
            
            ",https://deagostini.jp/post/migrm-487,https://deagostini.jp/f/resources_news/archive/migrm_image_DSD_legend_item_img.jpg
"
            
            
              
              マクラーレンMP4-23
            
              
              2010年10月05日創刊
            
              
              2012年01月04日完結
            
            ",https://deagostini.jp/post/migrm-446,https://deagostini.jp/f/resources_news/archive/migrm_image_MCL_legend_item_img.jpg
"
            
            
              
              鬼平犯科帳DVDコレクション
            
              
              2010年09月14日創刊
            
              
              2015年10月08日完結
            
            ",https://deagostini.jp/post/migrm-506,https://deagostini.jp/f/resources_news/archive/migrm_image_OND_legend_item_img.jpg
"
            
            
              
              バレエDVDコレクション
            
              
              2010年09月13日創刊
            
              
              2013年12月27日完結
            
            ",https://deagostini.jp/post/migrm-493,https://deagostini.jp/f/resources_news/archive/migrm_image_BLD_legend_item_img.jpg
"
            
            
              
              ホンダ CB750FOUR
            
              
              2010年08月31日創刊
            
              
              2012年03月13日完結
            
            ",https://deagostini.jp/post/migrm-458,https://deagostini.jp/f/resources_news/archive/migrm_image_HCB_legend_item_img.jpg
"
            
            
              
              ハマーH1 ラジコンカー
            
              
              2010年06月15日創刊
            
              
              2011年09月13日完結
            
            ",https://deagostini.jp/post/migrm-455,https://deagostini.jp/f/resources_news/archive/migrm_image_HMR_legend_item_img.jpg
"
            
            
              
              戦国武将データファイル
            
              
              2010年05月25日創刊
            
              
              2012年07月10日完結
            
            ",https://deagostini.jp/post/migrm-475,https://deagostini.jp/f/resources_news/archive/migrm_image_SBD_legend_item_img.jpg
"
            
            
              
              航空母艦 赤城を作る
            
              
              2010年02月23日創刊
            
              
              2012年01月24日完結
            
            ",https://deagostini.jp/post/migrm-456,https://deagostini.jp/f/resources_news/archive/migrm_image_AKG_legend_item_img.jpg
"
            
            
              
              野鳥の世界
            
              
              2010年02月16日創刊
            
              
              2012年06月12日完結
            
            ",https://deagostini.jp/post/migrm-468,https://deagostini.jp/f/resources_news/archive/migrm_image_YNS_legend_item_img.jpg
